source,series,frequency_hz,sine_v_rms,input_mode,coupling,sensitivity_a,time_constant_s,settling_s,n,current_rms_a,current_sd_a,g_magnitude_s,g_sd_s,g_real_s,g_imag_s,phase_deg,pair_difference_fraction
frequency_refine_20260924T095456Z.jsonl,frequency,42000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,2.44823e-07,0.0,2.44823e-06,0.0,-4.30739e-07,-2.409819999999999e-06,-100.13421043896301,-8.856285274575225e-05
frequency_refine_20260924T095456Z.jsonl,frequency,43330.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,2.2693333333333333e-07,3.406366588219598e-11,2.269333333333333e-06,3.406366588219598e-10,-7.293469999999998e-07,-2.148843333333333e-06,-108.7479194228626,-3.874540483041066e-05
frequency_refine_20260924T095456Z.jsonl,frequency,46000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,1.87604e-07,0.0,1.8760399999999997e-06,0.0,-1.0134e-06,-1.57918e-06,-122.68932231782722,0.00017940448392268231
frequency_refine_20260924T095456Z.jsonl,frequency,49000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,1.49245e-07,0.0,1.49245e-06,0.0,-1.03028e-06,-1.07976e-06,-133.6566720564951,-1.0879637981765706e-05
frequency_refine_20260924T095456Z.jsonl,frequency,57000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,8.74284e-08,0.0,8.74284e-07,0.0,-7.49719e-07,-4.48783e-07,-149.09519296182282,-0.0005808754913800944
frequency_refine_20260924T095456Z.jsonl,frequency,60000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,7.39824e-08,0.0,7.39824e-07,0.0,-6.548409999999999e-07,-3.44398e-07,-152.25894464679038,7.962446591084481e-05
high_gain_20260924T100005Z.jsonl,high_gain,13.033,0.004,current_1e8,DC,1e-08,0.1,1.5,3,3.872203333333333e-09,7.909698687897672e-13,9.680508333333332e-07,1.977424671974418e-10,9.679366666666665e-07,-1.667418333333333e-08,-0.986909453377609,3.041346704732805e-05
high_gain_20260924T100005Z.jsonl,high_gain,73.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,3.85583e-09,0.0,9.639575e-07,0.0,9.59525e-07,-9.409533333333334e-08,-5.600773869132377,0.00017652908554419315
high_gain_20260924T100005Z.jsonl,high_gain,173.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,3.776556666666666e-09,2.655811238273571e-13,9.441391666666665e-07,6.639528095683927e-11,9.198066666666666e-07,-2.1323958333333332e-07,-13.052355455168234,6.543317004246692e-05
high_gain_20260924T100005Z.jsonl,high_gain,333.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,3.5512899999999996e-09,2.598076211355307e-13,8.878224999999999e-07,6.495190528388267e-11,8.106283333333333e-07,-3.623225e-07,-24.08297230360541,0.00010598981522971489
